  "X m"     "Y m"     "Z m"    "U m/s"   "V m/s"    "W m/s"   "uu m^2/s^2" "vv m^2/s^2"  "uv m^2/s^2" 
 0.2214494000 0.0439249000 0.0600000000 6.6046257000 -0.0133036000 -0.0860852000 0.7796545000 0.2475009000 -0.0700862000
 0.2239903000 0.0439249000 0.0600000000 6.5953817000 -0.0134461000 -0.0814427000 0.7824145000 0.2501491000 -0.0678941000
 0.2265312000 0.0439249000 0.0600000000 6.5868759000 -0.0121072000 -0.0762983000 0.7861351000 0.2517000000 -0.0679110000
 0.2290721000 0.0439249000 0.0600000000 6.5906878000 -0.0110161000 -0.0770366000 0.7889545000 0.2458240000 -0.0689799000
 0.2316129000 0.0439249000 0.0600000000 6.5850043000 -0.0083755000 -0.0735451000 0.7926093000 0.2435010000 -0.0718969000
 0.2341538000 0.0439249000 0.0600000000 6.5821037000 -0.0033172000 -0.0715055000 0.7950340000 0.2430634000 -0.0778716000
 0.2366947000 0.0439249000 0.0600000000 6.5793095000 0.0036558000 -0.0658986000 0.7951999000 0.2442413000 -0.0827446000
 0.0766193000 0.0464970000 0.0600000000 6.7917213000 -0.0340500000 -0.0482138000 0.7586823000 0.2259991000 -0.0809952000
 0.0791602000 0.0464970000 0.0600000000 6.7865696000 -0.0327090000 -0.0471183000 0.7594312000 0.2243994000 -0.0805390000
 0.0817011000 0.0464970000 0.0600000000 6.7848682000 -0.0356017000 -0.0536204000 0.7595242000 0.2281014000 -0.0809711000
 0.0842419000 0.0464970000 0.0600000000 6.7809505000 -0.0390196000 -0.0634259000 0.7573230000 0.2305193000 -0.0801166000
 0.0867828000 0.0464970000 0.0600000000 6.7734408000 -0.0409213000 -0.0727725000 0.7530968000 0.2305274000 -0.0780831000
 0.0893237000 0.0464970000 0.0600000000 6.7655106000 -0.0409755000 -0.0783258000 0.7491663000 0.2328506000 -0.0774430000
 0.0918646000 0.0464970000 0.0600000000 6.7610979000 -0.0387853000 -0.0849614000 0.7516304000 0.2311695000 -0.0800105000
 0.0944055000 0.0464970000 0.0600000000 6.7580152000 -0.0407749000 -0.0860788000 0.7543795000 0.2302419000 -0.0805011000
 0.0969463000 0.0464970000 0.0600000000 6.7556605000 -0.0452692000 -0.0849829000 0.7568998000 0.2294248000 -0.0807707000
 0.0994872000 0.0464970000 0.0600000000 6.7532616000 -0.0484615000 -0.0845187000 0.7579383000 0.2283791000 -0.0813437000
 0.1020281000 0.0464970000 0.0600000000 6.7510347000 -0.0437528000 -0.0869999000 0.7552573000 0.2272422000 -0.0810258000
 0.1045690000 0.0464970000 0.0600000000 6.7484951000 -0.0455614000 -0.0856198000 0.7547745000 0.2295924000 -0.0814555000
 0.1071099000 0.0464970000 0.0600000000 6.7474179000 -0.0454668000 -0.0861604000 0.7553655000 0.2320736000 -0.0810615000
 0.1096507000 0.0464970000 0.0600000000 6.7446318000 -0.0479106000 -0.0897456000 0.7539641000 0.2333077000 -0.0803640000
 0.1121916000 0.0464970000 0.0600000000 6.7401257000 -0.0538832000 -0.0944905000 0.7503232000 0.2324686000 -0.0800757000
 0.1147325000 0.0464970000 0.0600000000 6.7383251000 -0.0592040000 -0.0942725000 0.7481693000 0.2292852000 -0.0811810000
 0.1172734000 0.0464970000 0.0600000000 6.7342048000 -0.0542480000 -0.0945621000 0.7484997000 0.2287741000 -0.0829726000
 0.1198142000 0.0464970000 0.0600000000 6.7327828000 -0.0564920000 -0.0933826000 0.7515956000 0.2271059000 -0.0850925000
 0.1223551000 0.0464970000 0.0600000000 6.7321429000 -0.0592455000 -0.0946060000 0.7537302000 0.2256760000 -0.0854745000
 0.1248960000 0.0464970000 0.0600000000 6.7322674000 -0.0582052000 -0.0986181000 0.7539554000 0.2250751000 -0.0839270000
 0.1274369000 0.0464970000 0.0600000000 6.7367849000 -0.0539597000 -0.0998873000 0.7559813000 0.2243357000 -0.0833183000
 0.1299778000 0.0464970000 0.0600000000 6.7354879000 -0.0554971000 -0.0975195000 0.7520183000 0.2248302000 -0.0813121000
 0.1325186000 0.0464970000 0.0600000000 6.7335267000 -0.0577850000 -0.0984634000 0.7497959000 0.2254712000 -0.0805513000
 0.1350595000 0.0464970000 0.0600000000 6.7308459000 -0.0600392000 -0.1000976000 0.7486295000 0.2260251000 -0.0798184000
 0.1376004000 0.0464970000 0.0600000000 6.7277546000 -0.0617808000 -0.0994685000 0.7478104000 0.2259176000 -0.0787374000
